trial,track,MASE,worst_dept_MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE,WQL,CRPS,PICP80
ORACLE_true_mean,ORACLE,0.6647983119880038,0.6987517570415168,0.6337711637108421,23.449879448749115,8.54045625,10.856056671526618,23.84182087288843,0.12485466269841267,-8.018826908247286,,,
high_quality,A: AutoGluon,0.7448472280037781,0.8036347664564077,0.7174457826027981,25.66701476558585,9.599956971986863,12.394400553115995,27.149157463802926,0.9171984113954333,-7.877561395212638,0.172818692918139,7.8054289625529485,0.8928571428571429
ensemble,A: AutoGluon,0.745440137713388,0.8047697216139303,0.7180917745062908,25.685328293820813,9.610571803353002,12.408927240721546,27.187535711552055,0.915134182141457,-7.925109586014454,0.17339417309942146,7.835365555344184,0.8958333333333334
global_covariates,A: AutoGluon,0.7575638135465329,0.8107418978333841,0.7201586568639801,25.87670303570907,9.891858357463262,12.618192966373197,27.209085667094183,-0.6732968034643327,-9.867023927053058,0.17829383429873175,8.095636362309055,0.8601190476190477
sf_forecast_exog,B: SNOWFLAKE.ML.FORECAST,0.7693884412115729,0.8388775574132868,0.7213569271325739,28.865297093061102,10.072132113014582,12.797960329955096,34.49381565284022,1.1717256736336312,-15.881969550141024,,,0.7371031746031745
zeroshot_chronos,A: AutoGluon,0.7825386546870796,0.8622310611709648,0.7426278885421671,28.293904759717673,10.032169406376187,12.791938186277115,32.11557532112634,1.891964556678893,-11.20003555625106,0.17718316519311858,7.843639677247883,0.8065476190476191
sf_forecast_base,B: SNOWFLAKE.ML.FORECAST,0.8151202564291575,0.9113002842774414,0.7692864127003557,29.784144712173177,10.588080314247817,13.481372693740912,34.98136420994476,1.3836753075309525,-14.567321089278481,,,0.7291666666666666
classical,A: AutoGluon,0.8344640468526412,0.9029174753078634,0.8010516116756095,28.826461754676092,10.89335743600074,14.057982040533064,32.40933132158346,3.3529441037307026,-10.409593638932343,0.1959375544803028,8.829498281998436,0.8005952380952381
chronos_finetune,A: AutoGluon,0.8468855491527459,0.972066179394408,0.7880232028953856,28.962325324767082,11.330611325445629,14.045152741349119,33.036274524456005,-4.304019157848661,-15.982185856177264,0.18391242233425262,8.872765216583508,0.7509920634920635
baseline_seasonal_mean_4w,baseline,0.8667421853881786,0.9103309235063898,0.839457662219994,29.163394922362265,11.29513888888889,14.642142181215629,30.82651804561442,3.7331349206349205,-6.557851185991263,,,
baseline_seasonal_naive,baseline,1.0035319437562464,1.1542495160561204,0.976010779105326,34.099203290803715,13.176587301587302,17.154821234427036,36.510239706860524,4.031746031746032,-6.683447992587808,,,
baseline_mean,baseline,1.584517618476792,2.17068486669277,1.3294336872960917,53.08578374932611,19.434220783733416,22.22431832281559,128.89562020705614,1.2845107928335937,-96.81992338161025,,,
baseline_naive,baseline,1.6811648035989608,2.5203506450094504,1.4795390326067241,50.847612558544604,19.58531746031746,23.444087641706002,199.23946550922133,-1.2579365079365077,-176.0142429945588,,,
baseline_drift,baseline,1.7022937379347527,2.5555860342210086,1.4967263592523068,51.215652274488754,19.826235631225845,23.70324184840093,202.10801987396079,-1.408851644481188,-178.96416543671432,,,
