model,window,dept_id,MASE,RMSSE,sMAPE,MAE,RMSE,MAPE,ME,MPE
seasonal_mean_4w,1,EMERGENCY,0.5281266472175397,0.4905637407686618,15.58695136568681,15.696428571428571,19.275493323314524,17.679625812163067,-12.071428571428571,-14.460155668472957
naive,1,ONCOLOGY,1.7746991694084624,1.643442799942883,64.83279098892537,11.964285714285714,15.580436450882884,329.1852007253792,-8.892857142857142,-320.743779025029
mean,1,ONCOLOGY,1.7101688058887983,1.3668604992439257,71.88234817476796,11.529248768472907,12.958335481120594,204.57319435506443,2.0618842364532024,-161.80794157079131
seasonal_naive,1,ONCOLOGY,0.8105342475208799,0.7941168687532328,32.566099401429405,5.464285714285714,7.528517213141737,48.31581209198204,-1.6071428571428572,-35.36393556867695
drift,1,ONCOLOGY,1.8065191149083617,1.6691610755644797,65.25272344719751,12.178802588996762,15.824255072962398,334.5838928665154,-9.346470950839883,-326.8076511235608
seasonal_mean_4w,1,ONCOLOGY,0.7125284724938454,0.6838867499380258,24.466643873160262,4.803571428571429,6.483495529859976,28.31135322264479,-0.10714285714285714,-12.57028250274094
naive,1,ORTHOPEDICS,2.0087569354929102,1.6957331643506781,46.055553902297234,16.678571428571427,18.868908667056353,55.71600477250658,5.107142857142857,-17.29060103587269
mean,1,ORTHOPEDICS,2.276945936008905,1.9885822011639096,53.01749158674733,18.905326354679804,22.127523787071517,50.27410752040987,12.636237684729066,7.940600609374923
seasonal_naive,1,ORTHOPEDICS,1.1742840329540996,1.092381851839967,25.80986788389388,9.75,12.155245781143218,31.464128105414837,-2.3214285714285716,-17.433735951474034
drift,1,ORTHOPEDICS,1.9874958291670344,1.679831017957134,45.55187814583337,16.50204191709046,18.691960928922775,55.87247726889658,4.653529049160118,-18.675074039976174
seasonal_mean_4w,1,ORTHOPEDICS,1.0904066020288068,1.0013170238477447,25.29377220856241,9.053571428571429,11.141941354308823,26.21196337987862,1.4642857142857142,-1.9966151350228545
naive,1,PEDIATRICS,0.472705358584577,0.4034470122234261,30.41593533061011,6.357142857142857,7.329003050503235,25.99549518650377,5.714285714285714,21.53546117289833
mean,1,PEDIATRICS,1.841176840668672,1.3862536128607692,71.74834729541655,24.76092980295567,25.18263030735062,119.12475831044742,-24.76092980295567,-119.12475831044742
seasonal_naive,1,PEDIATRICS,0.3558568429794007,0.3302880428156384,22.848538019999193,4.785714285714286,6.0,20.09357589688031,3.857142857142857,14.254200673106585
drift,1,PEDIATRICS,0.4960647485091776,0.4237378557156005,32.212137526876056,6.67128987517337,7.697605740189469,27.148984838171824,6.136615811373093,23.43357634467735
seasonal_mean_4w,1,PEDIATRICS,0.3505455468155291,0.3273670847793747,23.007331265702984,4.714285714285714,5.9469379876177815,21.63588233572473,1.75,3.692348228718085
naive,2,CARDIOLOGY,1.5413410133722478,1.4366507054994047,47.70935581720752,16.535714285714285,20.08286405300371,87.27133479612841,-13.964285714285714,-82.91099387918372
mean,2,CARDIOLOGY,1.2059238027799637,1.150310822479694,40.762385532788564,12.93731320980275,16.08013400761049,66.98887754354111,-7.088762701733415,-56.153360950138165
seasonal_naive,2,CARDIOLOGY,0.649160901960234,0.6376928301393517,20.373229861217457,6.964285714285714,8.914274267391917,20.15099360563413,1.4642857142857142,-0.5730223462301438
drift,2,CARDIOLOGY,1.5747010339482148,1.4615285943303933,48.36352996034923,16.893605086013462,20.43063074215506,88.99055156734033,-14.465332834704563,-84.87597619572654
seasonal_mean_4w,2,CARDIOLOGY,0.6258576900949949,0.6194474448640299,19.58870790043928,6.714285714285714,8.659222993845514,20.721077010596247,-0.5357142857142857,-6.981618299889298
naive,2,ELECTIVE_SURGERY,2.292607350297331,1.7659106380840186,81.80458933968539,19.964285714285715,22.36307543378466,467.19851370901705,-3.0357142857142856,-432.84446750331904
mean,2,ELECTIVE_SURGERY,2.4070824188509605,1.8456303525319246,93.10554314527867,20.961147638971905,23.372627077741328,324.9065496347898,7.442319187089061,-263.6577351912628
seasonal_naive,2,ELECTIVE_SURGERY,1.3411137809431615,1.255579263703183,54.464682845637235,11.678571428571429,15.900359384977076,68.2870948770701,-3.0357142857142856,-47.778593248575966
